compound,rev_score_sum,n_clusters
LJP006 MDAMB231 24H-AT-7519-10,75.20528031503277,20
LJP007 A375 24H-CGP-60474-3.33,75.16615585445656,20
LJP005 MCF10A 24H-AZD-8330-0.12,75.12232687144832,20
LJP005 HS578T 24H-CGP-60474-10,74.76559323481943,20
LJP007 A375 24H-CGP-60474-1.11,74.75581438669782,20
LJP006 HME1 24H-dasatinib-1.11,74.2461432983545,20
LJP006 HME1 24H-selumetinib-10,74.23224526960871,20
LJP007 HA1E 24H-dinaciclib-3.33,74.20454452318906,20
LJP005 HA1E 24H-CGP-60474-10,74.16115933675731,20
LJP006 HME1 24H-dasatinib-0.12,74.1202058617169,20
LJP006 SKBR3 24H-PF-562271-10,74.0160170596127,20
LJP006 HME1 24H-CGP-60474-0.12,73.7618915738549,20
LJP006 LNCAP 24H-mitoxantrone-10,73.58801818291921,20
LJP005 HEPG2 24H-CGP-60474-1.11,73.57417417442795,20
LJP005 A375 24H-PLX-4720-0.37,73.57381640749603,20
LJP006 A549 24H-BMS-387032-10,73.50026737167327,20
LJP006 MCF10A 24H-dasatinib-10,73.49842533185392,20
LJP006 HME1 24H-PD-0325901-1.11,73.35723408859758,20
LJP006 SKBR3 24H-CGP-60474-0.12,72.95434103061193,20
LJP005 MCF10A 24H-pelitinib-0.04,72.7992653690977,20
LJP006 HS578T 24H-PHA-793887-10,72.7947818162591,20
LJP006 MDAMB231 24H-mitoxantrone-3.33,72.67782109379435,20
LJP006 MDAMB231 24H-JNK-9L-10,72.62461559954045,20
LJP006 MCF10A 24H-AS-605240-3.33,72.54741187362966,20
LJP005 A549 24H-PF-431396-10,72.42673264820826,20
LJP006 BT20 24H-alvocidib-0.37,72.23185659990764,20
LJP006 PC3 24H-AZD-5438-10,72.1429377687537,20
LJP005 MDAMB231 24H-AS-601245-10,72.08008710078951,20
LJP006 MCF10A 3H-selumetinib-0.04,72.0458954650513,20
LJP005 A375 24H-mitoxantrone-3.33,71.96930884484931,20
LJP007 HCC515 24H-CGP-60474-1.11,71.91776063581445,20
LJP006 MCF10A 24H-BMS-387032-1.11,71.37715421422358,20
LJP006 A375 24H-JNK-9L-3.33,71.25710651122208,20
LJP005 MCF10A 24H-erlotinib-1.11,71.23688582432766,20
LJP007 HCC515 24H-dinaciclib-0.04,71.19380192074456,20
LJP006 MCF10A 24H-GSK-2126458-0.37,71.15877017854467,20
LJP007 A375 24H-dinaciclib-0.04,70.98434984182583,20
LJP005 MCF10A 24H-AZD-8330-0.04,70.69888944340299,20
LJP006 MCF10A 24H-AS-605240-1.11,70.63865008071073,20
LJP005 PC3 24H-mitoxantrone-10,70.63733480407785,20
LJP006 MDAMB231 24H-A443654-10,70.3985966498153,20
LJP005 MCF10A 24H-PD-184352-0.37,70.079727285617,20
LJP007 HCC515 24H-CGP-60474-10,70.0042632786805,20
LJP005 HS578T 24H-WZ-3105-0.12,69.96019590874985,20
LJP009 HCC515 24H-CGP-60474-3.33,69.89244943318884,20
LJP008 HCC515 24H-CGP-60474-10,69.69923923211016,20
LJP005 MCF10A 24H-trametinib-10,69.54254160907895,20
LJP006 A549 24H-JNK-9L-3.33,69.3650508599472,20
LJP006 A549 24H-AT-7519-10,69.31486197244878,20
LJP006 HS578T 24H-AT-7519-3.33,69.29283989284252,20
LJP006 MCF10A 24H-geldanamycin-1.11,69.23566834313814,20
LJP006 MCF7 3H-NVP-TAE684-10,69.1987127584707,20
LJP006 HME1 3H-AT-7519-1.11,69.18157040046461,20
LJP008 A549 24H-CGP-60474-3.33,68.96265343382369,20
LJP008 PC3 24H-CGP-60474-3.33,68.93596775106286,20
LJP008 A375 24H-CGP-60474-1.11,68.9296704514345,20
LJP006 A375 24H-CGP-60474-10,68.78491695460235,20
LJP006 A375 24H-JNK-9L-10,68.46161792382482,20
LJP005 HS578T 24H-mitoxantrone-3.33,68.38810252342333,20
LJP006 BT20 24H-CGP-60474-1.11,68.35417575742625,20
LJP006 MCF10A 24H-GSK-2126458-1.11,68.33512764325042,20
LJP007 HCC515 24H-dinaciclib-10,68.33146307410571,20
LJP005 HS578T 24H-AS-601245-3.33,68.30034618158777,20
LJP009 A549 24H-chelerythrine chloride-10,68.16073613628173,20
LJP006 MCF10A 24H-PD-0325901-0.12,68.09754415584582,20
LJP008 HCC515 24H-mitoxantrone-10,68.0650724917598,20
LJP005 PC3 24H-WZ-3105-1.11,67.9986374709623,20
LJP005 PC3 24H-WZ-3105-3.33,67.93608819628592,20
LJP009 PC3 24H-CGP-60474-3.33,67.92741081067926,20
LJP005 MCF10A 24H-trametinib-0.37,67.76232491450324,20
LJP006 HME1 24H-PD-0325901-3.33,67.63821412177948,20
LJP006 MCF7 24H-alvocidib-10,67.62507519323891,20
LJP006 LNCAP 24H-alvocidib-0.37,67.59455457616873,20
LJP006 HME1 24H-PD-0325901-0.37,67.59221190700383,20
LJP006 LNCAP 24H-CGP-60474-0.12,67.3298839060737,20
LJP006 LNCAP 24H-alvocidib-3.33,67.32944761160974,20
LJP006 MCF10A 24H-alvocidib-3.33,67.31281680195751,20
LJP006 PC3 24H-CGP-60474-0.37,67.30494737415675,20
LJP008 A375 24H-CGP-60474-10,67.21522079725423,20
LJP006 MDAMB231 24H-BMS-387032-0.37,67.08638641105414,20
LJP006 HS578T 24H-alvocidib-10,66.86854945555962,20
LJP005 MCF10A 24H-CGP-60474-1.11,66.83477616771219,20
LJP006 MCF10A 24H-PD-0325901-0.04,66.70407474778436,20
LJP005 HT29 24H-CGP-60474-3.33,66.49626691684082,20
LJP007 HCC515 24H-dinaciclib-1.11,66.28278108739693,20
LJP006 MDAMB231 24H-JNK-9L-3.33,66.22769545142057,20
LJP006 HA1E 24H-AZD-7762-10,66.1425910008426,20
LJP007 HCC515 24H-dinaciclib-0.12,66.07812107657723,20
LJP007 A375 24H-OTSSP167-0.37,65.99127811397403,20
LJP005 HA1E 24H-mitoxantrone-3.33,65.939553650961,20
LJP006 HS578T 24H-CGP-60474-0.37,65.85452047429705,20
LJP006 HEPG2 24H-A443654-10,65.84142601675275,20
LJP006 HME1 24H-canertinib-0.37,65.79235145604747,20
LJP006 A549 24H-A443654-10,65.78129264125727,20
LJP006 MCF7 3H-XMD11-85H-10,65.70252428557909,19
LJP007 PC3 24H-dinaciclib-10,65.2679170892883,20
LJP006 HS578T 3H-CGP-60474-1.11,65.26423195315672,20
LJP006 HCC515 24H-AZD-5438-10,65.2121792843058,20
LJP006 MDAMB231 24H-AT-7519-0.37,65.17287930898495,20
LJP007 A375 24H-dinaciclib-3.33,65.13748274310791,20
LJP005 MCF10A 24H-trametinib-1.11,64.90521048378395,20
LJP007 PC3 24H-OTSSP167-1.11,64.84778418706813,20
LJP006 SKBR3 24H-BMS-387032-0.37,64.83181372811605,20
LJP005 HS578T 24H-WZ-3105-1.11,64.80185814630411,20
LJP005 HA1E 24H-CGP-60474-0.12,64.76128954788811,20
LJP005 MCF7 24H-CGP-60474-1.11,64.6969428899179,20
LJP006 MCF10A 24H-alvocidib-10,64.5820166430957,20
LJP006 MCF7 24H-CGP-60474-0.37,64.51423567071078,20
LJP006 A549 24H-BMS-387032-0.37,64.2597468343261,20
LJP006 MCF10A 24H-CGP-60474-10,64.13140655472354,20
LJP006 MCF10A 24H-selumetinib-10,64.10480296146633,20
LJP006 A375 24H-A443654-1.11,63.99431302115187,20
LJP008 PC3 24H-mitoxantrone-10,63.921523435834125,20
LJP006 HME1 24H-dasatinib-0.04,63.84153354859359,20
LJP006 HS578T 24H-AT-7519-1.11,63.72180164169924,20
LJP005 A375 24H-PLX-4720-0.12,63.25766893272596,20
LJP005 MCF10A 24H-geldanamycin-0.04,63.25657731969037,20
LJP009 HA1E 24H-CGP-60474-0.12,63.08866570600051,20
LJP009 A549 24H-CGP-60474-0.37,62.92342952912774,20
LJP005 MCF10A 24H-PD-0325901-0.04,62.902443065527784,20
LJP006 MCF10A 24H-dasatinib-0.04,62.67749643847918,20
LJP005 MCF10A 24H-AZD-8330-3.33,62.32134591293802,20
LJP006 LNCAP 24H-CGP-60474-3.33,62.24733738214945,20
LJP008 A549 24H-CGP-60474-0.37,62.03563212785535,20
LJP007 HCC515 24H-CGP-60474-0.12,61.92042075883557,20
LJP006 HME1 24H-selumetinib-3.33,61.423580381965664,20
LJP006 A375 24H-A443654-3.33,61.37732917461516,20
LJP005 HEPG2 24H-mitoxantrone-10,61.269441602014574,20
LJP005 MDAMB231 24H-WZ-3105-0.12,61.230674481572954,20
LJP006 MCF10A 3H-ZSTK-474-1.11,61.06031474611791,20
LJP005 A375 24H-PD-184352-0.04,61.031611406853486,20
LJP009 A549 24H-CGP-60474-3.33,60.968235629801306,20
LJP006 HME1 24H-selumetinib-0.37,60.90989676780627,20
LJP006 HME1 24H-lapatinib-1.11,60.70009342618025,20
LJP006 A375 24H-A443654-10,60.570560965814614,20
LJP005 MCF10A 24H-TWS-119-10,60.55535822412503,20
LJP006 HA1E 24H-JNK-9L-1.11,60.51204176410814,20
LJP006 HS578T 24H-alvocidib-0.37,60.48239870688435,20
LJP006 HA1E 24H-PHA-793887-10,60.39357617892838,20
LJP006 MCF10A 3H-dasatinib-3.33,60.383786363859414,20
LJP006 LNCAP 24H-AT-7519-10,60.31855934127779,20
LJP005 HCC515 24H-WZ-3105-1.11,60.27455992978802,20
LJP005 A375 24H-AZD-8330-3.33,60.16557092929288,20
LJP006 HME1 24H-CGP-60474-0.37,60.10832633888418,20
LJP005 A375 24H-PLX-4720-1.11,60.074834219603346,20
LJP006 A549 24H-mitoxantrone-10,59.95623142355991,20
LJP005 HS578T 3H-WZ-3105-0.37,59.93395262974033,20
LJP006 PC3 24H-JW-7-24-1-1.11,59.83792680352529,20
LJP006 SKBR3 24H-JNK-9L-10,59.75904976458075,20
LJP006 A549 24H-AZD-5438-10,59.58933398493908,20
LJP005 HA1E 24H-WH-4-025-0.37,59.58238445581102,20
LJP006 MCF10A 3H-AZD-7762-3.33,59.44535490239929,20
LJP005 MCF10A 24H-AZD-8330-0.37,59.377136073534366,20
LJP006 MCF7 24H-alvocidib-1.11,59.34298666975446,20
LJP006 MCF10A 24H-ZSTK-474-1.11,59.230683999734985,20
LJP006 SKBR3 24H-BMS-345541-10,59.15676517557381,20
LJP006 MCF10A 24H-geldanamycin-0.12,59.11327036817035,20
LJP006 MCF10A 24H-canertinib-0.04,59.07950339680865,20
LJP006 MCF10A 24H-AS-605240-10,59.04930054778575,20
LJP006 LNCAP 24H-PF-562271-10,58.9355373456896,20
LJP006 HS578T 24H-CGP-60474-0.12,58.93539085173363,20
LJP006 MCF10A 24H-afatinib-0.12,58.81906715359135,20
LJP008 PC3 24H-CGP-60474-1.11,58.79456699625972,20
LJP005 A375 24H-PD-0325901-0.12,58.69883754344166,20
LJP006 HME1 24H-gefitinib-3.33,58.69091673277832,19
LJP005 MCF10A 24H-PD-184352-1.11,58.664237032848746,20
LJP005 A375 24H-WZ-3105-3.33,58.641083952166056,20
LJP006 MCF10A 24H-gefitinib-10,58.62314755508901,20
LJP005 MCF7 24H-WZ-3105-0.04,58.618891793182456,20
LJP006 MCF7 24H-alvocidib-3.33,58.589242949358386,20
LJP007 A549 24H-OTSSP167-1.11,58.54452914522987,20
LJP006 HA1E 24H-A443654-1.11,58.542128546823314,20
LJP006 HA1E 24H-AT-7519-1.11,58.45190759300849,20
LJP005 MDAMB231 3H-BX-912-10,58.450339789911276,20
LJP007 A375 24H-GSK-1059615-0.04,58.388366307796986,20
LJP009 HCC515 24H-CGP-60474-10,58.31013218302286,20
LJP006 MCF10A 24H-selumetinib-0.37,58.29037688513496,20
LJP005 MDAMB231 24H-CGP-60474-0.37,58.241651300179214,20
LJP005 A375 24H-tozasertib-3.33,58.22580473180154,20
LJP007 HA1E 24H-dinaciclib-1.11,58.21044435964182,20
LJP005 HT29 24H-CGP-60474-1.11,58.1902557478424,20
LJP006 MCF10A 3H-PI-103-3.33,58.085006865569774,20
LJP007 HT29 24H-CGP-60474-3.33,57.77664396610762,20
LJP006 HT29 24H-CGP-60474-10,57.61725029694,20
LJP006 HME1 24H-A443654-3.33,57.5867967676216,20
LJP006 MCF10A 24H-selumetinib-0.12,57.58084679210211,20
LJP006 HME1 24H-lapatinib-3.33,57.52693221547686,20
LJP005 MCF7 24H-WZ-3105-1.11,57.271619467539736,20
LJP006 BT20 24H-alvocidib-3.33,57.255612218675736,20
LJP007 HCC515 24H-OTSSP167-1.11,57.17123530424848,20
LJP006 MCF10A 24H-dasatinib-3.33,57.153109279139755,20
LJP006 HME1 24H-linifanib-1.11,57.13061821614001,20
LJP006 A549 24H-CGP-60474-1.11,56.91207476481136,20
LJP006 HME1 24H-canertinib-1.11,56.874385238702324,20
LJP006 HME1 24H-alvocidib-1.11,56.79465556665369,20
LJP009 HCC515 24H-CGP-60474-0.04,56.67563739822224,20
LJP005 HS578T 24H-PF-431396-10,56.63868693884806,20
LJP006 LNCAP 24H-JNK-9L-3.33,56.52087659029126,20
LJP006 HME1 24H-AS-605240-0.37,56.42211248014464,20
LJP009 A549 24H-mitoxantrone-10,56.29052307678111,20
LJP006 LNCAP 24H-alvocidib-10,55.92979710733979,20
LJP006 LNCAP 24H-mitoxantrone-3.33,55.86567026407749,20
LJP009 PC3 24H-CGP-60474-10,55.854235232564214,20
LJP006 HS578T 24H-BMS-387032-0.37,55.6508335819112,20
LJP006 SKBR3 24H-BMS-387032-3.33,55.591047346186656,20
LJP005 HCC515 24H-WZ-3105-3.33,55.573983060264226,20
LJP006 BT20 24H-CGP-60474-0.12,55.549373142623026,20
LJP006 MCF10A 3H-GSK-1059615-10,55.54926938027582,20
LJP006 SKBR3 24H-BMS-387032-10,55.40486169865482,20
LJP005 HS578T 3H-GDC-0980-0.12,55.225362822573565,20
LJP006 BT20 24H-selumetinib-0.04,55.0733202861026,20
LJP005 A549 24H-CGP-60474-0.37,54.99432459658726,20
LJP007 PC3 24H-CGP-60474-3.33,54.94201834162234,20
LJP006 MCF10A 24H-PD-0325901-10,54.82017875803678,20
LJP006 MCF10A 24H-selumetinib-0.04,54.65861967249041,20
LJP006 HME1 24H-afatinib-0.12,54.65540439419054,20
LJP006 HME1 24H-BMS-387032-1.11,54.61478642350147,20
LJP007 HA1E 24H-CGP-60474-0.04,54.585656498781375,20
LJP008 A549 24H-CGP-60474-10,54.51734290364364,20
LJP006 LNCAP 24H-CGP-60474-0.04,54.435601740770366,20
LJP006 HME1 24H-AS-605240-0.12,54.37952350481308,20
LJP005 MCF10A 24H-neratinib-10,54.30040473259939,20
LJP006 PC3 24H-AT-7519-10,54.26637002190992,20
LJP006 HS578T 3H-CGP-60474-3.33,54.246327175946675,20
LJP006 MCF10A 24H-GSK-1059615-10,54.204541711988476,20
LJP006 MCF10A 24H-canertinib-0.12,54.13303051870316,20
LJP005 MCF10A 24H-GSK-1059615-3.33,54.11742994173948,20
LJP007 A375 24H-dinaciclib-0.37,54.06122231682494,20
LJP006 HME1 24H-AZD-5438-10,54.05462061951196,20
LJP006 BT20 24H-alvocidib-10,54.001547056604046,20
LJP006 LNCAP 24H-BMS-387032-1.11,53.97688812269877,20
LJP005 MCF10A 24H-GDC-0980-3.33,53.950867061141565,20
LJP006 SKBR3 24H-CGP-60474-0.04,53.80572874644895,20
LJP006 MDAMB231 24H-mitoxantrone-1.11,53.71764312818101,20
LJP006 MDAMB231 24H-CGP-60474-1.11,53.69713300256783,20
LJP006 HME1 24H-AZD-5438-0.37,53.65688818891048,20
LJP006 MCF10A 24H-PHA-793887-10,53.608767798283885,20
LJP005 MDAMB231 24H-AS-601245-1.11,53.56030796949577,20
LJP006 MCF10A 3H-afatinib-0.04,53.51576760358712,20
LJP006 HME1 24H-WZ-4-145-0.37,53.313239640123605,20
LJP006 MCF10A 3H-WYE-125132-0.37,53.31297573180585,20
LJP006 HME1 24H-BMS-387032-3.33,53.252833256104786,20
LJP006 MCF10A 24H-selumetinib-1.11,53.24473233430866,20
LJP005 MCF7 24H-CGP-60474-3.33,53.23078370671294,20
LJP006 HS578T 24H-ZSTK-474-0.37,53.134849300172206,20
LJP005 BT20 24H-WZ-3105-0.12,53.094219904237704,20
LJP006 HT29 24H-A443654-10,53.08700624839766,20
LJP005 MCF7 3H-GDC-0980-10,53.02365416757448,20
LJP006 MDAMB231 3H-CGP-60474-0.37,53.00803678403825,20
LJP008 A549 24H-CGP-60474-1.11,52.98213214880379,20
LJP006 HS578T 24H-mitoxantrone-3.33,52.98177899659489,20
LJP007 HCC515 24H-mitoxantrone-10,52.82376556860739,20
LJP005 A375 24H-AZD-8330-10,52.72412078596325,20
LJP006 A549 24H-AT-7519-3.33,52.65694847112077,20
LJP007 MCF7 24H-dinaciclib-10,52.61036960599852,20
LJP006 HME1 24H-WZ-4-145-1.11,52.54759175006947,20
LJP006 A549 24H-BMS-387032-1.11,52.45478073469917,20
LJP006 MCF10A 3H-alvocidib-10,52.442066089600296,20
LJP006 HCC515 24H-mitoxantrone-3.33,52.30165118405651,20
LJP005 MCF7 24H-WZ-3105-10,52.251539298295,20
LJP006 MCF10A 24H-CGP-60474-0.04,52.092705016920775,20
LJP006 HS578T 24H-PI-103-0.04,52.08324527049716,20
LJP005 HS578T 3H-CGP-60474-0.04,52.07254972272075,20
LJP006 HME1 24H-AT-7519-10,52.00949843313707,20
LJP006 MCF10A 24H-canertinib-1.11,51.98441056484064,20
LJP006 HS578T 3H-CGP-60474-0.37,51.92434198418917,20
LJP008 A375 24H-CGP-60474-0.37,51.81391195540928,20
LJP008 HA1E 24H-PD-0325901-0.37,51.767859474223805,20
LJP006 MCF10A 24H-gefitinib-3.33,51.70504127598601,20
