compound,total_score,max_rev,n_clusters,n_fib_clusters,best_p,moa
LJP006 MCF10A 24H-gefitinib-3.33,25.77406941968059,19.880122700476832,1,1,1.3178843463439321e-20,Unknown/other
LJP006 SKBR3 24H-XMD-1150-10,25.53270041924712,21.43543531945693,1,1,3.669143358248452e-22,ERK5 inhibitor
LJP006 SKBR3 24H-BI-2536-0.37,25.22738191320204,21.43543531945693,1,1,3.669143358248452e-22,PLK1 inhibitor
LJP006 HME1 24H-XMD-1150-10,24.656426190372724,20.484408052513235,1,1,3.277871675463417e-21,ERK5 inhibitor
LJP006 A549 24H-mitoxantrone-10,24.008650444341704,22.72765683770747,2,1,1.872160863412545e-23,Topoisomerase II inhibitor
LJP008 PC3 24H-I-BET-10,22.338993348703358,18.855542651163592,1,1,1.3946246877057674e-19,BET bromodomain inhibitor
LJP006 HA1E 24H-alvocidib-0.37,22.232298454469866,22.3451191395216,2,1,4.517320042378433e-23,CDK inhibitor
LJP009 HEPG2 24H-GSK-429286A-0.04,21.72892273670534,18.28871088558894,1,1,5.1438596978551735e-19,Unknown/other
LJP008 PC3 24H-I-BET151-3.33,21.08666619807638,18.28871088558894,1,1,5.1438596978551735e-19,BET bromodomain inhibitor
LJP008 HCC515 24H-I-BET151-10,21.04273313408147,18.30068012666132,1,1,5.0040296386770615e-19,BET bromodomain inhibitor
LJP008 HCC515 24H-I-BET151-1.11,20.816979931906175,17.78300027529344,1,1,1.648161346777832e-18,BET bromodomain inhibitor
LJP008 HCC515 24H-I-BET151-3.33,20.710907635533637,17.315366987163042,1,1,4.8376340546620194e-18,BET bromodomain inhibitor
LJP006 SKBR3 24H-BI-2536-10,20.588312740497212,17.622061712866767,1,1,2.3874720011206813e-18,PLK1 inhibitor
LJP005 HEPG2 24H-pelitinib-10,20.45441948680311,17.093816405511827,1,1,8.05718980412015e-18,EGFR inhibitor
LJP008 HA1E 24H-olaparib-10,19.70174206322234,11.630269021921713,2,1,2.342777142132749e-12,Unknown/other
LJP005 HA1E 24H-radicicol-1.11,19.20331709086059,15.963953746913084,1,1,1.086541335920279e-16,HSP90 inhibitor
LJP005 HA1E 24H-dovitinib-10,19.190983007719012,13.943885324770244,1,1,1.1379277153729023e-14,Unknown/other
LJP006 HA1E 24H-CGP-60474-10,18.492078462082652,22.296408492851327,3,1,5.053491122954721e-23,CDK inhibitor
LJP005 A375 24H-WZ-3105-1.11,18.10037408498826,15.352156684212389,1,1,4.444708828977437e-16,Unknown/other
LJP006 HS578T 24H-KIN001-043-10,17.899014731911834,10.697297659414286,2,1,2.0077162800428845e-11,Unknown/other
LJP006 HS578T 24H-withaferin-a-3.33,17.73077150279923,10.152577883389414,1,1,7.037560098502239e-11,Unknown/other
LJP006 HA1E 24H-JW-7-24-1-10,17.512047019842164,9.828468958846791,1,1,1.4843319687472433e-10,Unknown/other
LJP006 HA1E 24H-alvocidib-0.12,17.344956235106594,19.44687073252014,1,1,3.5737919601577765e-20,CDK inhibitor
LJP006 HA1E 24H-BMS-387032-10,17.301374287736632,18.071228549490595,1,1,8.487337074296678e-19,CDK inhibitor
LJP006 A375 24H-AZD-5438-10,17.296073015536564,12.848592262902857,1,1,1.4171236212063776e-13,Unknown/other
LJP008 HA1E 24H-ABT-737-1.11,17.152645478836305,11.184272127705064,2,1,6.5422610936161874e-12,Unknown/other
LJP006 HS578T 24H-CGP-60474-10,16.613832436462957,17.175111182132603,2,1,6.68172839200526e-18,CDK inhibitor
LJP006 HS578T 24H-PHA-793887-10,15.392697556471752,15.93673229242292,2,1,1.1568251119857747e-16,CDK inhibitor
LJP006 A375 24H-alvocidib-10,14.923450393017601,14.113455259224391,2,1,7.700957751082763e-15,CDK inhibitor
LJP006 HA1E 24H-AT-7519-3.33,13.648511716363522,12.819299076100238,1,1,1.5160060131374865e-13,CDK inhibitor
LJP006 HEPG2 24H-PHA-793887-10,13.28385013615677,16.065650387941737,1,1,8.597053156944067e-17,CDK inhibitor
LJP006 A375 24H-BMS-387032-10,13.041277012167301,13.248203270848004,1,1,5.646726188218535e-14,CDK inhibitor
LJP006 A375 24H-CGP-60474-1.11,12.852678709645485,13.748730306487682,1,1,1.7834859546108494e-14,CDK inhibitor
LJP006 MDAMB231 24H-alvocidib-0.37,11.837935689320005,14.564859862925184,1,1,2.723580004396816e-15,CDK inhibitor
LJP006 HS578T 24H-withaferin-a-1.11,10.374228413687048,6.336781928098782,1,1,4.604877398373305e-07,Unknown/other
